interval_start,trade_id,market_id,side,entry_odds,fair_probability,edge,btc_price_entry,btc_price_close,bet_size,balance_before,balance_after,outcome,payout,profit_loss,resolved_outcome,mode
2025-12-18T19:45:00+00:00,BT-00160,SYN-202512181945,DOWN,0.4768,0.5200,0.0528,84692.65,84483.79,10.00,904.78,915.54,WIN,20.77,10.77,DOWN,BACKTEST
2025-12-18T23:45:00+00:00,BT-00161,SYN-202512182345,DOWN,0.4945,0.5200,0.0351,85488.55,85516.41,10.00,915.54,905.54,LOSS,0.00,-10.00,UP,BACKTEST
2025-12-19T01:00:00+00:00,BT-00162,SYN-202512190100,DOWN,0.5005,0.5500,0.0601,85604.88,85442.00,10.00,905.54,915.32,WIN,19.78,9.78,DOWN,BACKTEST
2025-12-19T01:45:00+00:00,BT-00163,SYN-202512190145,DOWN,0.4623,0.5200,0.0698,85336.50,85320.43,10.00,915.32,926.74,WIN,21.42,11.42,DOWN,BACKTEST
2025-12-19T03:00:00+00:00,BT-00164,SYN-202512190300,UP,0.5242,0.5500,0.0354,85643.44,86361.99,10.00,926.74,935.62,WIN,18.89,8.89,UP,BACKTEST
2025-12-19T03:30:00+00:00,BT-00165,SYN-202512190330,UP,0.5043,0.5500,0.0557,87146.04,87041.93,10.00,935.62,925.62,LOSS,0.00,-10.00,DOWN,BACKTEST
2025-12-19T05:15:00+00:00,BT-00166,SYN-202512190515,DOWN,0.4758,0.5200,0.0539,86992.02,86764.94,10.00,925.62,936.43,WIN,20.81,10.81,DOWN,BACKTEST
2025-12-19T07:15:00+00:00,BT-00167,SYN-202512190715,DOWN,0.4613,0.5500,0.1062,88150.42,87938.38,10.00,936.43,947.89,WIN,21.46,11.46,DOWN,BACKTEST
2025-12-19T08:30:00+00:00,BT-00168,SYN-202512190830,UP,0.5241,0.5500,0.0355,87742.60,87938.08,10.00,947.89,956.78,WIN,18.89,8.89,UP,BACKTEST
2025-12-19T09:00:00+00:00,BT-00169,SYN-202512190900,DOWN,0.4669,0.5200,0.0644,88102.78,87942.61,10.00,956.78,967.98,WIN,21.20,11.20,DOWN,BACKTEST
2025-12-19T11:15:00+00:00,BT-00170,SYN-202512191115,DOWN,0.4779,0.5200,0.0517,88337.96,88281.59,10.00,967.98,978.70,WIN,20.72,10.72,DOWN,BACKTEST
2025-12-19T13:30:00+00:00,BT-00171,SYN-202512191330,DOWN,0.4671,0.5200,0.0641,88041.53,88112.33,10.00,978.70,968.70,LOSS,0.00,-10.00,UP,BACKTEST
2025-12-19T14:30:00+00:00,BT-00172,SYN-202512191430,DOWN,0.4974,0.5500,0.0638,88032.37,88501.78,10.00,968.70,958.70,LOSS,0.00,-10.00,UP,BACKTEST
2025-12-19T15:00:00+00:00,BT-00173,SYN-202512191500,DOWN,0.4931,0.5200,0.0365,88180.00,88762.41,10.00,958.70,948.70,LOSS,0.00,-10.00,UP,BACKTEST
2025-12-19T15:45:00+00:00,BT-00174,SYN-202512191545,DOWN,0.4749,0.5500,0.0902,88039.69,87951.87,10.00,948.70,959.54,WIN,20.84,10.84,DOWN,BACKTEST
2025-12-19T16:45:00+00:00,BT-00175,SYN-202512191645,DOWN,0.4789,0.5500,0.0856,88509.93,87983.25,10.00,959.54,970.22,WIN,20.67,10.67,DOWN,BACKTEST
2025-12-19T17:30:00+00:00,BT-00176,SYN-202512191730,DOWN,0.4731,0.5500,0.0924,87609.86,87117.72,10.00,970.22,981.15,WIN,20.93,10.93,DOWN,BACKTEST
2025-12-19T18:30:00+00:00,BT-00177,SYN-202512191830,DOWN,0.5122,0.5500,0.0474,87335.01,87018.92,10.00,981.15,990.48,WIN,19.33,9.33,DOWN,BACKTEST
2025-12-19T20:00:00+00:00,BT-00178,SYN-202512192000,DOWN,0.4899,0.5200,0.0397,87845.92,87780.01,10.00,990.48,1000.68,WIN,20.21,10.21,DOWN,BACKTEST
2025-12-19T21:00:00+00:00,BT-00179,789305,DOWN,0.4489,0.5200,0.0855,88099.59,87914.79,10.00,1000.68,1012.73,WIN,22.05,12.05,DOWN,BACKTEST
2025-12-20T05:45:00+00:00,BT-00180,SYN-202512200545,DOWN,0.4673,0.5200,0.0639,88509.41,88295.31,10.00,1012.73,1023.92,WIN,21.19,11.19,DOWN,BACKTEST
2025-12-21T09:45:00+00:00,BT-00181,SYN-202512210945,UP,0.4841,0.5200,0.0455,88834.10,88892.82,10.00,1023.92,1034.37,WIN,20.45,10.45,UP,BACKTEST
2025-12-21T13:30:00+00:00,BT-00182,SYN-202512211330,DOWN,0.5013,0.5500,0.0592,88212.34,87934.72,10.00,1034.37,1044.12,WIN,19.75,9.75,DOWN,BACKTEST
2025-12-21T14:00:00+00:00,BT-00183,SYN-202512211400,UP,0.4855,0.5500,0.0778,87670.10,87887.27,10.00,1044.12,1054.51,WIN,20.39,10.39,UP,BACKTEST
2025-12-21T18:30:00+00:00,BT-00184,SYN-202512211830,UP,0.4945,0.5200,0.0351,88126.25,88278.53,10.00,1054.51,1064.54,WIN,20.02,10.02,UP,BACKTEST
2025-12-21T23:00:00+00:00,BT-00185,SYN-202512212300,UP,0.4924,0.5500,0.0696,88483.64,88521.70,10.00,1064.54,1074.64,WIN,20.10,10.10,UP,BACKTEST
2025-12-22T00:15:00+00:00,BT-00186,SYN-202512220015,DOWN,0.4969,0.5500,0.0644,89480.01,89005.79,10.00,1074.64,1084.56,WIN,19.92,9.92,DOWN,BACKTEST
2025-12-22T02:00:00+00:00,BT-00187,SYN-202512220200,DOWN,0.5059,0.5500,0.0537,88626.31,88181.43,10.00,1084.56,1094.13,WIN,19.57,9.57,DOWN,BACKTEST
2025-12-22T02:45:00+00:00,BT-00188,SYN-202512220245,UP,0.4896,0.5200,0.0400,88385.87,88458.27,10.00,1094.13,1104.35,WIN,20.22,10.22,UP,BACKTEST
